Hours,Wind speed,Wind direction,,
272.5,14.6,351,,
273.5,14.6,357,,
274.5,14.4,2,,
275.5,14.3,5,,
276.5,14.1,6,,
277.5,14,5,,
278.5,14,4,,
279.5,14.1,2,,
280.5,14.1,359,,
281.5,13.9,355,,
282.5,13.9,353,,
283.5,14,351,,
284.5,14,350,,
285.5,14,350,,
286.5,14,349,,
287.5,13.9,348,,
288.5,13.8,348,,
289.5,13.7,348,,
290.5,13.6,348,,
291.5,13.5,346,,
292.5,13.5,346,,
293.5,13.5,346,,
294.5,13.6,346,,
295.5,14.2,347,,
296.5,14.7,353,,
297.5,14.6,359,,
298.5,14.3,3,,
299.5,13.9,6,,
300.5,13.6,8,,
301.5,13.4,8,,
302.5,13.3,7,,
303.5,13.4,5,,
304.5,13.5,2,,
305.5,13.5,359,,
306.5,13.6,356,,
307.5,13.7,356,,
308.5,13.4,357,,
309.5,13,0,,
310.5,12.7,1,,
311.5,12.4,359,,
312.5,12.1,356,,
313.5,12,353,,
314.5,12,349,,
315.5,12.4,346,,
316.5,12.7,346,,
317.5,12.8,346,,
318.5,13.1,348,,
319.5,13.8,350,,
320.5,14.3,355,,
321.5,14.3,359,,
322.5,14.1,2,,
323.5,13.8,3,,
324.5,13.6,5,,
325.5,13.4,6,,
326.5,13.3,7,,
327.5,13.3,7,,
328.5,13.1,5,,
329.5,12.8,2,,
330.5,12.8,360,,
331.5,12.8,359,,
332.5,12.6,359,,
333.5,12.3,358,,
334.5,12.2,356,,
335.5,12.3,352,,
336.5,12.4,349,,
337.5,12.5,347,,
338.5,12.6,346,,
339.5,12.7,345,,
340.5,12.7,344,,
341.5,12.7,344,,
342.5,12.8,344,,
343.5,13.4,344,,
344.5,14,348,,
345.5,14.1,354,,
346.5,13.9,358,,
347.5,13.7,1,,
348.5,13.5,4,,
349.5,13.4,6,,
350.5,13.4,7,,
351.5,13.6,7,,
352.5,13.6,6,,
353.5,13.6,3,,
354.5,13.8,360,,
355.5,14,359,,
356.5,14.2,359,,
357.5,14.3,0,,
358.5,14.4,359,,
359.5,14.5,357,,
360.5,14.5,356,,
361.5,14.6,356,,
362.5,14.7,357,,
363.5,14.8,357,,
364.5,14.8,357,,
365.5,14.9,357,,
366.5,15.3,358,,
367.5,15.9,2,,
368.5,16.7,2,,
369.5,17.6,1,,
370.5,18.1,358,,
371.5,18.5,355,,
372.5,18.7,353,,
373.5,18.7,353,,
374.5,18.6,353,,
375.5,18.4,354,,
376.5,18.1,355,,
377.5,17.8,354,,
378.5,17.9,352,,
379.5,18,350,,
380.5,18,349,,
381.5,18,348,,
382.5,17.9,347,,
383.5,17.9,347,,
384.5,17.9,346,,
385.5,17.9,347,,
386.5,17.9,347,,
387.5,17.9,347,,
388.5,18,348,,
389.5,18,349,,
390.5,18,350,,
391.5,18.4,350,,
392.5,18.9,351,,
393.5,19.1,352,,
394.5,19.2,354,,
395.5,19.2,355,,
396.5,19.2,355,,
397.5,19.1,354,,
398.5,18.8,354,,
399.5,18.5,353,,
400.5,18,353,,
401.5,17.4,352,,
402.5,17.2,352,,
403.5,17.2,352,,
404.5,17.3,351,,
405.5,17.3,351,,
406.5,17.2,351,,
407.5,17,350,,
408.5,16.8,350,,
409.5,16.6,350,,
410.5,16.4,350,,
411.5,16.2,350,,
412.5,16.1,350,,
413.5,16.1,352,,
414.5,16.1,352,,
415.5,16.5,352,,
416.5,17,354,,
417.5,17.3,357,,
418.5,17.3,358,,
419.5,17.2,359,,
420.5,17.1,360,,
421.5,16.9,360,,
422.5,16.8,359,,
423.5,16.7,358,,
424.5,16.3,356,,
425.5,15.7,353,,
426.5,15.4,350,,
427.5,15.3,350,,
428.5,15.3,350,,
429.5,15.2,350,,
430.5,15.1,351,,
431.5,15,351,,
432.5,14.9,351,,
433.5,14.8,351,,
434.5,14.8,352,,
435.5,14.7,351,,
436.5,14.7,350,,
437.5,14.6,350,,
438.5,14.7,350,,
439.5,15,350,,
440.5,15.6,351,,
441.5,16,356,,
442.5,16.1,2,,
443.5,16,6,,
444.5,15.8,8,,
445.5,15.7,9,,
446.5,15.8,9,,
447.5,15.9,8,,
448.5,15.7,6,,
449.5,15.2,3,,
450.5,15.1,359,,
451.5,15.3,358,,
452.5,15.2,356,,
453.5,14.9,355,,
454.5,14.6,353,,
455.5,14.3,351,,
456.5,14.1,349,,
457.5,14,348,,
458.5,14,348,,
459.5,13.9,347,,
460.5,13.9,346,,
461.5,13.8,346,,
462.5,13.8,345,,
463.5,14.3,345,,
464.5,14.9,348,,
465.5,14.9,353,,
466.5,14.7,359,,
467.5,14.4,4,,
468.5,14,9,,
469.5,13.6,12,,
470.5,13.4,14,,
471.5,13.1,16,,
472.5,12.6,16,,
473.5,11.7,15,,
474.5,11.2,10,,
475.5,11.1,3,,
476.5,11,358,,
477.5,11,353,,
478.5,10.9,349,,
479.5,10.8,347,,
480.5,10.7,350,,
481.5,10.6,352,,
482.5,10.5,354,,
483.5,10.4,355,,
484.5,10.2,356,,
485.5,10,357,,
486.5,9.8,359,,
487.5,9.5,4,,
488.5,9.5,6,,
489.5,10.1,162,,
490.5,10.8,169,,
491.5,11.3,167,,
492.5,11.8,163,,
493.5,12.3,159,,
494.5,12.6,159,,
495.5,12.6,163,,
496.5,12.2,165,,
497.5,11.3,167,,
498.5,10.7,173,,
499.5,10.3,181,,
500.5,10.1,190,,
501.5,10,197,,
502.5,10,199,,
503.5,10,196,,
504.5,10,192,,
505.5,10,186,,
506.5,10.1,180,,
507.5,10.1,174,,
508.5,10.2,168,,
509.5,10.2,165,,
510.5,10.4,165,,
511.5,10.9,162,,
512.5,11.5,169,,
513.5,11.8,174,,
514.5,11.9,176,,
515.5,12,172,,
516.5,12.2,167,,
517.5,12.3,166,,
518.5,12.2,168,,
519.5,11.8,168,,
520.5,11,167,,
521.5,10,165,,
522.5,9.6,160,,
523.5,9.4,142,,
524.5,9.5,78,,
525.5,9.9,16,,
526.5,10.3,359,,
527.5,10.9,354,,
528.5,11.5,351,,
529.5,12,349,,
530.5,12.2,348,,
531.5,12.2,351,,
532.5,12.3,354,,
533.5,12.5,356,,
534.5,12.9,356,,
535.5,13.7,356,,
536.5,14.2,356,,
537.5,14.2,358,,
538.5,14.1,3,,
539.5,14,7,,
540.5,14,11,,
541.5,13.9,13,,
542.5,13.9,14,,
543.5,13.9,13,,
544.5,13.7,11,,
545.5,13.6,7,,
546.5,13.8,4,,
547.5,14,2,,
548.5,14.1,1,,
549.5,14.2,1,,
550.5,14.1,358,,
551.5,13.9,355,,
552.5,13.8,353,,
553.5,13.6,352,,
554.5,13.4,352,,
555.5,13.3,353,,
556.5,13.2,353,,
557.5,13.2,352,,
558.5,13.5,352,,
559.5,14.1,352,,
560.5,14.7,354,,
561.5,14.9,359,,
562.5,15,3,,
563.5,15,7,,
564.5,14.9,9,,
565.5,14.9,10,,
566.5,14.9,10,,
567.5,14.9,10,,
568.5,15,10,,
569.5,15,9,,
570.5,15.1,8,,
571.5,15.3,5,,
572.5,15.5,2,,
573.5,15.8,358,,
574.5,16,357,,
575.5,16.1,356,,
576.5,16.3,355,,
577.5,16.5,356,,
578.5,16.5,356,,
579.5,16.4,356,,
580.5,16.3,356,,
581.5,16.2,355,,
582.5,16.3,354,,
583.5,17,354,,
584.5,17.8,354,,
585.5,18.3,357,,
586.5,18.6,358,,
587.5,18.7,359,,
588.5,18.8,359,,
589.5,18.7,360,,
590.5,18.7,1,,
591.5,18.6,360,,
592.5,18.2,358,,
593.5,17.7,355,,
594.5,17.5,354,,
595.5,17.6,352,,
596.5,17.6,350,,
597.5,17.7,348,,
598.5,17.6,347,,
599.5,17.6,346,,
600.5,17.6,346,,
601.5,17.5,347,,
602.5,17.3,348,,
603.5,17.1,347,,
604.5,17,347,,
605.5,16.9,347,,
606.5,16.9,348,,
607.5,17.1,347,,
608.5,17.5,348,,
609.5,17.7,350,,
610.5,17.7,354,,
611.5,17.4,357,,
612.5,17.1,0,,
613.5,16.7,2,,
614.5,16.4,3,,
615.5,16,3,,
616.5,15.5,2,,
617.5,14.8,360,,
618.5,14.4,356,,
619.5,14.2,353,,
620.5,14.1,350,,
621.5,13.9,347,,
622.5,13.8,346,,
623.5,13.6,345,,
624.5,13.3,345,,
625.5,13,347,,
626.5,12.6,351,,
627.5,12.3,353,,
628.5,12.1,351,,
629.5,11.9,352,,
630.5,12.1,354,,
631.5,12.5,358,,
632.5,12.5,4,,
633.5,12.3,9,,
634.5,12.2,14,,
635.5,12.3,20,,
636.5,12.5,22,,
637.5,12.7,19,,
638.5,13.1,17,,
639.5,13.5,15,,
640.5,13.7,11,,
641.5,13.8,7,,
642.5,13.9,4,,
643.5,13.9,4,,
644.5,13.6,4,,
645.5,13.2,3,,
646.5,13.1,1,,
647.5,13.2,358,,
648.5,13.5,356,,
649.5,13.9,355,,
650.5,14.2,354,,
651.5,14.6,352,,
652.5,14.8,351,,
653.5,14.9,349,,
654.5,15.4,349,,
655.5,16.4,350,,
656.5,17.4,353,,
657.5,17.5,357,,
658.5,17.3,0,,
659.5,17.3,2,,
660.5,17.3,2,,
661.5,17.4,2,,
662.5,17.6,1,,
663.5,18,0,,
664.5,17.9,359,,
665.5,17.6,359,,
666.5,17.3,358,,
667.5,17.3,357,,
668.5,17.2,357,,
669.5,17.1,356,,
670.5,16.9,356,,
671.5,16.8,356,,
672.5,16.7,356,,
673.5,16.7,355,,
674.5,16.6,354,,
675.5,16.5,354,,
676.5,16.3,354,,
677.5,16,353,,
678.5,15.9,354,,
679.5,16.3,355,,
680.5,16.9,358,,
681.5,17.2,4,,
682.5,17.2,8,,
683.5,17,8,,
684.5,16.9,8,,
685.5,16.8,8,,
686.5,16.5,9,,
687.5,16.2,9,,
688.5,15.6,9,,
689.5,14.8,8,,
690.5,14.3,5,,
691.5,14.1,3,,
692.5,13.9,0,,
693.5,13.9,357,,
694.5,13.9,354,,
695.5,13.8,354,,
696.5,13.7,354,,
697.5,13.6,355,,
698.5,13.4,355,,
699.5,13.2,356,,
700.5,13.1,358,,
701.5,13,360,,
702.5,13.2,1,,
703.5,13.7,1,,
704.5,13.9,4,,
705.5,13.9,6,,
706.5,13.8,8,,
707.5,13.8,11,,
708.5,13.7,14,,
709.5,13.6,16,,
710.5,13.5,19,,
711.5,13.4,20,,
712.5,13.1,20,,
713.5,12.6,16,,
714.5,12.5,9,,
715.5,12.8,3,,
716.5,13,359,,
717.5,13.1,356,,
718.5,13.1,355,,
719.5,13.2,355,,
720.5,13.3,356,,
721.5,13.4,357,,
722.5,13.4,357,,
723.5,13.3,355,,
724.5,13.2,354,,
725.5,13.1,352,,
726.5,13.4,352,,
727.5,14,352,,
728.5,14.2,356,,
729.5,14,3,,
730.5,13.6,9,,
731.5,13.1,14,,
732.5,12.7,21,,
733.5,12.2,28,,
734.5,11.6,35,,
735.5,11,42,,
736.5,10.2,49,,
737.5,9.4,56,,
738.5,9.3,341,,
739.5,10.3,349,,
740.5,11.6,354,,
741.5,12.5,354,,
742.5,13,356,,
743.5,13.2,358,,
744.5,13.4,359,,
745.5,13.6,358,,
746.5,13.8,357,,
747.5,13.9,356,,
748.5,13.9,355,,
749.5,13.9,354,,
750.5,14.1,352,,
751.5,14.9,352,,
752.5,15.5,355,,
753.5,15.6,358,,
754.5,15.5,0,,
755.5,15.4,2,,
756.5,15.2,4,,
757.5,15.1,6,,
758.5,15,7,,
759.5,15,7,,
760.5,14.9,7,,
761.5,14.6,6,,
762.5,14.4,4,,
763.5,14.5,2,,
764.5,14.5,359,,
765.5,14.4,356,,
766.5,14.2,354,,
767.5,14,351,,
768.5,13.9,349,,
769.5,13.9,348,,
770.5,13.8,349,,
771.5,13.8,351,,
772.5,13.9,352,,
773.5,14,352,,
774.5,14.4,353,,
775.5,15.2,353,,
776.5,16,355,,
777.5,16.4,358,,
778.5,16.7,359,,
779.5,17,360,,
780.5,17.2,360,,
781.5,17.5,360,,
782.5,17.8,360,,
783.5,18.1,359,,
784.5,18.1,358,,
785.5,17.8,357,,
786.5,17.7,356,,
787.5,17.8,355,,
788.5,18,352,,
789.5,18,350,,
790.5,18,347,,
791.5,18,346,,
792.5,17.9,345,,
793.5,17.9,345,,
794.5,17.8,345,,
795.5,17.7,345,,
796.5,17.6,345,,
797.5,17.5,346,,
798.5,17.4,347,,
799.5,17.8,348,,
800.5,18.5,348,,
801.5,18.9,349,,
802.5,19,350,,
803.5,19.1,350,,
804.5,19,350,,
805.5,18.9,352,,
806.5,18.8,353,,
807.5,18.5,353,,
808.5,18.1,352,,
809.5,17.5,351,,
810.5,17.3,350,,
811.5,17.3,349,,
812.5,17.2,348,,
813.5,17.2,348,,
814.5,17.2,349,,
815.5,17,349,,
816.5,16.8,349,,
817.5,16.6,348,,
818.5,16.4,348,,
819.5,16.2,348,,
820.5,15.9,347,,
821.5,15.6,347,,
822.5,15.5,346,,
823.5,16,346,,
824.5,16.8,348,,
825.5,17.3,351,,
826.5,17.4,354,,
827.5,17.4,355,,
828.5,17.4,355,,
829.5,17.4,355,,
830.5,17.4,354,,
831.5,17.4,354,,
832.5,17.1,354,,
833.5,16.7,352,,
834.5,16.5,351,,
835.5,16.5,351,,
836.5,16.4,352,,
837.5,16.2,353,,
838.5,16.1,354,,
